"TableLogicalName","RelationshipSchemaName","ReferencingAttribute","ReferencedEntity","ReferencedAttribute","IsCustomRelationship"
"activitypointer","interactionforemail_ActivityPointers","regardingobjectid","interactionforemail","interactionforemailid","False"
"activitypointer","KnowledgeBaseRecord_ActivityPointers","regardingobjectid","knowledgebaserecord","knowledgebaserecordid","False"
"activitypointer","KnowledgeArticle_ActivityPointers","regardingobjectid","knowledgearticle","knowledgearticleid","False"
"activitypointer","activitypointer_sendermailboxid_mailbox","sendermailboxid","mailbox","mailboxid","False"
"activitypointer","lk_activitypointer_createdonbehalfby","createdonbehalfby","systemuser","systemuserid","False"
"activitypointer","Contact_ActivityPointers","regardingobjectid","contact","contactid","False"
"activitypointer","lk_activitypointer_modifiedonbehalfby","modifiedonbehalfby","systemuser","systemuserid","False"
"activitypointer","TransactionCurrency_ActivityPointer","transactioncurrencyid","transactioncurrency","transactioncurrencyid","False"
"activitypointer","sla_activitypointer","slainvokedid","sla","slaid","False"
"activitypointer","business_unit_activitypointer","owningbusinessunit","businessunit","businessunitid","False"
"activitypointer","Account_ActivityPointers","regardingobjectid","account","accountid","False"
"activitypointer","owner_activitypointers","ownerid","owner","ownerid","False"
"activitypointer","manualsla_activitypointer","slaid","sla","slaid","False"
"activitypointer","team_activity","owningteam","team","teamid","False"
"activitypointer","lk_activitypointer_modifiedby","modifiedby","systemuser","systemuserid","False"
"activitypointer","lk_activitypointer_createdby","createdby","systemuser","systemuserid","False"
"activitypointer","user_activity","owninguser","systemuser","systemuserid","False"
"activitypointer","FileAttachment_ActivityPointer_DescriptionBlobId","descriptionblobid","fileattachment","fileattachmentid","True"
"activitypointer","adx_invitation_ActivityPointers","regardingobjectid","adx_invitation","adx_invitationid","False"
"activitypointer","mspp_adplacement_ActivityPointers","regardingobjectid","mspp_adplacement","mspp_adplacementid","False"
"activitypointer","mspp_pollplacement_ActivityPointers","regardingobjectid","mspp_pollplacement","mspp_pollplacementid","False"
"activitypointer","mspp_publishingstatetransitionrule_ActivityPointers","regardingobjectid","mspp_publishingstatetransitionrule","mspp_publishingstatetransitionruleid","False"
"activitypointer","mspp_redirect_ActivityPointers","regardingobjectid","mspp_redirect","mspp_redirectid","False"
"activitypointer","mspp_shortcut_ActivityPointers","regardingobjectid","mspp_shortcut","mspp_shortcutid","False"
"activitypointer","mspp_website_ActivityPointers","regardingobjectid","mspp_website","mspp_websiteid","False"
"activitypointer","Lead_ActivityPointers","regardingobjectid","lead","leadid","False"
"activitypointer","bookableresourcebooking_ActivityPointers","regardingobjectid","bookableresourcebooking","bookableresourcebookingid","False"
"activitypointer","bookableresourcebookingheader_ActivityPointers","regardingobjectid","bookableresourcebookingheader","bookableresourcebookingheaderid","False"
"activitypointer","BulkOperation_ActivityPointers","regardingobjectid","bulkoperation","activityid","False"
"activitypointer","Campaign_ActivityPointers","regardingobjectid","campaign","campaignid","False"
"activitypointer","CampaignActivity_ActivityPointers","regardingobjectid","campaignactivity","activityid","False"
"activitypointer","Contract_ActivityPointers","regardingobjectid","contract","contractid","False"
"activitypointer","entitlement_ActivityPointers","regardingobjectid","entitlement","entitlementid","False"
"activitypointer","entitlementtemplate_ActivityPointers","regardingobjectid","entitlementtemplate","entitlementtemplateid","False"
"activitypointer","Incident_ActivityPointers","regardingobjectid","incident","incidentid","False"
"activitypointer","site_ActivityPointers","regardingobjectid","site","siteid","False"
"activitypointer","service_activity_pointers","serviceid","service","serviceid","False"
"activitypointer","msdyn_customerasset_ActivityPointers","regardingobjectid","msdyn_customerasset","msdyn_customerassetid","False"
"activitypointer","msdyn_playbookinstance_ActivityPointers","regardingobjectid","msdyn_playbookinstance","msdyn_playbookinstanceid","False"
"activitypointer","Invoice_ActivityPointers","regardingobjectid","invoice","invoiceid","False"
"activitypointer","Opportunity_ActivityPointers","regardingobjectid","opportunity","opportunityid","False"
"activitypointer","Quote_ActivityPointers","regardingobjectid","quote","quoteid","False"
"activitypointer","SalesOrder_ActivityPointers","regardingobjectid","salesorder","salesorderid","False"
"activitypointer","msdyn_postalbum_ActivityPointers","regardingobjectid","msdyn_postalbum","msdyn_postalbumid","False"
"activitypointer","msdyn_swarm_ActivityPointers","regardingobjectid","msdyn_swarm","msdyn_swarmid","False"
"activitypointer","msdyn_salessuggestion_ActivityPointers","regardingobjectid","msdyn_salessuggestion","msdyn_salessuggestionid","False"
"annotation","knowledgearticle_Annotations","objectid","knowledgearticle","knowledgearticleid","False"
"annotation","channelaccessprofile_Annotations","objectid","channelaccessprofile","channelaccessprofileid","False"
"annotation","profilerule_Annotations","objectid","channelaccessprofilerule","channelaccessprofileruleid","False"
"annotation","KnowledgeBaseRecord_Annotations","objectid","knowledgebaserecord","knowledgebaserecordid","False"
"annotation","lk_annotationbase_modifiedonbehalfby","modifiedonbehalfby","systemuser","systemuserid","False"
"annotation","Mailbox_Annotation","objectid","mailbox","mailboxid","False"
"annotation","team_annotations","owningteam","team","teamid","False"
"annotation","annotation_owning_user","owninguser","systemuser","systemuserid","False"
"annotation","PhoneCall_Annotation","objectid","phonecall","activityid","False"
"annotation","Contact_Annotation","objectid","contact","contactid","False"
"annotation","SocialActivity_Annotation","objectid","socialactivity","activityid","False"
"annotation","sla_Annotation","objectid","sla","slaid","False"
"annotation","Calendar_Annotation","objectid","calendar","calendarid","False"
"annotation","Email_Annotation","objectid","email","activityid","False"
"annotation","Task_Annotation","objectid","task","activityid","False"
"annotation","ConvertRule_Annotation","objectid","convertrule","convertruleid","False"
"annotation","lk_annotationbase_createdby","createdby","systemuser","systemuserid","False"
"annotation","EmailServerProfile_Annotation","objectid","emailserverprofile","emailserverprofileid","False"
"annotation","Account_Annotation","objectid","account","accountid","False"
"annotation","RecurringAppointmentMaster_Annotation","objectid","recurringappointmentmaster","activityid","False"
"annotation","routingrule_Annotation","objectid","routingrule","routingruleid","False"
"annotation","business_unit_annotations","owningbusinessunit","businessunit","businessunitid","False"
"annotation","lk_annotationbase_modifiedby","modifiedby","systemuser","systemuserid","False"
"annotation","Letter_Annotation","objectid","letter","activityid","False"
"annotation","Fax_Annotation","objectid","fax","activityid","False"
"annotation","owner_annotations","ownerid","owner","ownerid","False"
"annotation","profileruleitem_Annotations","objectid","channelaccessprofileruleitem","channelaccessprofileruleid","False"
"annotation","Workflow_Annotation","objectid","workflow","workflowid","False"
"annotation","routingruleitem_Annotation","objectid","routingruleitem","routingruleitemid","False"
"annotation","Appointment_Annotation","objectid","appointment","activityid","False"
"annotation","lk_annotationbase_createdonbehalfby","createdonbehalfby","systemuser","systemuserid","False"
"annotation","Goal_Annotation","objectid","goal","goalid","False"
"annotation","KbArticle_Annotation","objectid","kbarticle","kbarticleid","False"
"annotation","SharePointDocument_Annotation","objectid","sharepointdocument","sharepointdocumentid","False"
"annotation","DuplicateRule_Annotation","objectid","duplicaterule","duplicateruleid","False"
"annotation","approvalprocess_Annotations","objectid","approvalprocess","approvalprocessid","False"
"annotation","approvalstageapproval_Annotations","objectid","approvalstageapproval","approvalstageapprovalid","False"
"annotation","msdyn_flow_approval_Annotations","objectid","msdyn_flow_approval","msdyn_flow_approvalid","False"
"annotation","msdyn_aimodel_Annotations","objectid","msdyn_aimodel","msdyn_aimodelid","False"
"annotation","msdyn_aifptrainingdocument_Annotations","objectid","msdyn_aifptrainingdocument","msdyn_aifptrainingdocumentid","False"
"annotation","msdyn_aiodimage_Annotations","objectid","msdyn_aiodimage","msdyn_aiodimageid","False"
"annotation","chat_Annotations","objectid","chat","activityid","False"
"annotation","adx_invitation_Annotations","objectid","adx_invitation","adx_invitationid","False"
"annotation","adx_inviteredemption_Annotations","objectid","adx_inviteredemption","activityid","False"
"annotation","adx_portalcomment_Annotations","objectid","adx_portalcomment","activityid","False"
"annotation","mspcat_catalogsubmissionfiles_Annotations","objectid","mspcat_catalogsubmissionfiles","mspcat_catalogsubmissionfilesid","False"
"annotation","Lead_Annotation","objectid","lead","leadid","False"
"annotation","bookableresource_Annotations","objectid","bookableresource","bookableresourceid","False"
"annotation","bookableresourcebooking_Annotations","objectid","bookableresourcebooking","bookableresourcebookingid","False"
"annotation","bookableresourcebookingheader_Annotations","objectid","bookableresourcebookingheader","bookableresourcebookingheaderid","False"
"annotation","bookableresourcecategoryassn_Annotations","objectid","bookableresourcecategoryassn","bookableresourcecategoryassnid","False"
"annotation","bookableresourcecharacteristic_Annotations","objectid","bookableresourcecharacteristic","bookableresourcecharacteristicid","False"
"annotation","bookableresourcegroup_Annotations","objectid","bookableresourcegroup","bookableresourcegroupid","False"
"annotation","bulkoperation_Annotations","objectid","bulkoperation","activityid","False"
"annotation","Campaign_Annotation","objectid","campaign","campaignid","False"
"annotation","CampaignActivity_Annotation","objectid","campaignactivity","activityid","False"
"annotation","CampaignResponse_Annotation","objectid","campaignresponse","activityid","False"
"annotation","List_Annotation","objectid","list","listid","False"
"annotation","Commitment_Annotation","objectid","commitment","commitmentid","False"
"annotation","Contract_Annotation","objectid","contract","contractid","False"
"annotation","ContractDetail_Annotation","objectid","contractdetail","contractdetailid","False"
"annotation","entitlement_Annotations","objectid","entitlement","entitlementid","False"
"annotation","entitlementchannel_Annotations","objectid","entitlementchannel","entitlementchannelid","False"
"annotation","entitlementtemplate_Annotations","objectid","entitlementtemplate","entitlementtemplateid","False"
"annotation","Equipment_Annotation","objectid","equipment","equipmentid","False"
"annotation","Incident_Annotation","objectid","incident","incidentid","False"
"annotation","IncidentResolution_Annotation","objectid","incidentresolution","activityid","False"
"annotation","ResourceSpec_Annotation","objectid","resourcespec","resourcespecid","False"
"annotation","Service_Annotation","objectid","service","serviceid","False"
"annotation","ServiceAppointment_Annotation","objectid","serviceappointment","activityid","False"
"annotation","Product_Annotation","objectid","product","productid","False"
"annotation","msdyn_customerasset_Annotations","objectid","msdyn_customerasset","msdyn_customerassetid","False"
"annotation","msdyn_functionallocation_Annotations","objectid","msdyn_functionallocation","msdyn_functionallocationid","False"
"annotation","msdyn_iotalert_Annotations","objectid","msdyn_iotalert","msdyn_iotalertid","False"
"annotation","msdyn_iotdevice_Annotations","objectid","msdyn_iotdevice","msdyn_iotdeviceid","False"
"annotation","msdyn_iotdevicecategory_Annotations","objectid","msdyn_iotdevicecategory","msdyn_iotdevicecategoryid","False"
"annotation","msdyn_iotdevicecommand_Annotations","objectid","msdyn_iotdevicecommand","msdyn_iotdevicecommandid","False"
"annotation","msdyn_iotdeviceregistrationhistory_Annotations","objectid","msdyn_iotdeviceregistrationhistory","msdyn_iotdeviceregistrationhistoryid","False"
"annotation","msdyn_playbookinstance_Annotations","objectid","msdyn_playbookinstance","msdyn_playbookinstanceid","False"
"annotation","msdyn_playbooktemplate_Annotations","objectid","msdyn_playbooktemplate","msdyn_playbooktemplateid","False"
"annotation","Invoice_Annotation","objectid","invoice","invoiceid","False"
"annotation","Opportunity_Annotation","objectid","opportunity","opportunityid","False"
"annotation","OpportunityClose_Annotation","objectid","opportunityclose","activityid","False"
"annotation","OrderClose_Annotation","objectid","orderclose","activityid","False"
"annotation","Quote_Annotation","objectid","quote","quoteid","False"
"annotation","QuoteClose_Annotation","objectid","quoteclose","activityid","False"
"annotation","SalesOrder_Annotation","objectid","salesorder","salesorderid","False"
"annotation","Competitor_Annotation","objectid","competitor","competitorid","False"
"annotation","msdyn_taggedrecord_Annotations","objectid","msdyn_taggedrecord","msdyn_taggedrecordid","False"
"annotation","msdyn_forecastconfiguration_Annotations","objectid","msdyn_forecastconfiguration","msdyn_forecastconfigurationid","False"
"annotation","msdyn_forecastpredictionstatus_Annotations","objectid","msdyn_forecastpredictionstatus","msdyn_forecastpredictionstatusid","False"
"annotation","msdyn_postalbum_Annotations","objectid","msdyn_postalbum","msdyn_postalbumid","False"
"annotation","msfp_alert_Annotations","objectid","msfp_alert","activityid","False"
"annotation","msfp_question_Annotations","objectid","msfp_question","msfp_questionid","False"
"annotation","msfp_surveyinvite_Annotations","objectid","msfp_surveyinvite","activityid","False"
"annotation","msfp_surveyresponse_Annotations","objectid","msfp_surveyresponse","activityid","False"
"annotation","msdyn_swarm_Annotations","objectid","msdyn_swarm","msdyn_swarmid","False"
"annotation","msdyn_overflowactionconfig_Annotations","objectid","msdyn_overflowactionconfig","msdyn_overflowactionconfigid","False"
"annotation","msdyn_liveconversation_Annotations","objectid","msdyn_liveconversation","msdyn_liveconversationid","False"
"annotation","msdyn_ocflaggedspam_Annotations","objectid","msdyn_ocflaggedspam","msdyn_ocflaggedspamid","False"
"annotation","msdyn_ocliveworkitem_Annotations","objectid","msdyn_ocliveworkitem","activityid","False"
"annotation","msdyn_ocsession_Annotations","objectid","msdyn_ocsession","activityid","False"
"annotation","msdyn_personalsoundsetting_Annotations","objectid","msdyn_personalsoundsetting","msdyn_personalsoundsettingid","False"
"annotation","msdyn_soundfile_Annotations","objectid","msdyn_soundfile","msdyn_soundfileid","False"
"annotation","msdyn_soundnotificationsetting_Annotations","objectid","msdyn_soundnotificationsetting","msdyn_soundnotificationsettingid","False"
"annotation","msdyn_transcript_Annotations","objectid","msdyn_transcript","msdyn_transcriptid","False"
"annotation","msdyn_salessuggestion_Annotations","objectid","msdyn_salessuggestion","msdyn_salessuggestionid","False"
"annotation","msdyn_copilottranscript_Annotations","objectid","msdyn_copilottranscript","activityid","False"
"annotation","msdyn_summarysynthesizerinput_Annotations","objectid","msdyn_summarysynthesizerinput","msdyn_summarysynthesizerinputid","False"
"annotation","msdyn_summarysynthesizeroutput_Annotations","objectid","msdyn_summarysynthesizeroutput","msdyn_summarysynthesizeroutputid","False"
"annotation","msdyn_synthesizeroutput_Annotations","objectid","msdyn_synthesizeroutput","msdyn_synthesizeroutputid","False"
